"('Open', 'AAPL')","('Open', 'ABT')","('Open', 'MU')","('Open', 'SO')",PortfolioValue
0.33333322,0.33333322,0.33333322,3.333329e-07,892960.8268025895
0.33333322,0.33333322,0.33333322,3.333329e-07,908706.1654084689
0.33333322,0.33333322,0.33333322,3.333329e-07,920149.7443294242
0.33333322,0.33333322,0.33333322,3.333329e-07,935493.094148179
0.33332914,0.33333528,0.33333528,3.3333495e-07,937450.1549814431
0.33333322,0.33333322,0.33333322,3.333329e-07,931848.0823341497
0.33333322,0.33333322,0.33333322,3.333329e-07,943204.9449572
0.33333322,0.33333322,0.33333322,3.333329e-07,949325.7105045564
0.33333322,0.33333322,0.33333322,3.333329e-07,945165.3762155492
0.33333322,0.33333322,0.33333322,3.333329e-07,962397.8683401184
0.33333322,0.33333322,0.33333322,3.333329e-07,971187.4458239118
0.33333322,0.33333322,0.33333322,3.333329e-07,983749.0711908208
0.32399663,0.33800152,0.33800152,3.3800117e-07,971875.5697319437
0.33333322,0.33333322,0.33333322,3.333329e-07,970424.926824354
0.33333322,0.33333322,0.33333322,3.333329e-07,987227.0788032948
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,982193.1597143769
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,975711.097383142
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,950463.6483310496
0.33333322,0.33333322,0.33333322,3.333329e-07,980476.6000755164
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,991974.0111999799
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,994724.2561620595
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,983350.0719871693
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,983271.2053313645
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,985575.2865051895
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,981207.7533690255
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,997635.1832626272
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,969582.5427670227
0.33333316,0.33333328,0.33333328,3.3333296e-07,981389.6512343051
0.33333322,0.33333322,0.33333322,3.333329e-07,970115.5878743014
0.33333322,0.33333322,0.33333322,3.333329e-07,979894.9065055884
0.33333322,0.33333322,0.33333322,3.333329e-07,985332.6111862598
0.33333322,0.33333322,0.33333322,3.333329e-07,991531.5936067955
0.33333322,0.33333322,0.33333322,3.333329e-07,987213.5207769364
0.33333322,0.33333322,0.33333322,3.333329e-07,1001436.4517830604
0.3333319,0.33333388,0.33333388,3.3333356e-07,1006249.9239173918
0.3333332,0.33333322,0.33333322,3.333329e-07,1006018.0678906111
0.33333322,0.33333322,0.33333322,3.333329e-07,995602.2292934605
0.33333322,0.33333322,0.33333322,3.333329e-07,1004362.538942692
0.33332786,0.3333359,0.3333359,3.3333558e-07,1018893.3611110159
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,991851.3420317397
0.101830915,0.44908434,0.44908434,4.490839e-07,1006362.8932245454
