NVDA,LLY,JPM,CAT,PortfolioValue
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1126295.8391990073
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1122169.5205700644
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1109102.0148782555
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1108987.7825693362
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1104975.5191701187
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1117584.417507003
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1104975.6118029712
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1106694.891823378
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1086291.984633221
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1075746.7462681094
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1072766.5401610003
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1070588.5292552316
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1037003.8091656072
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1048810.0370108394
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1054541.0311871788
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1029324.0215570494
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1036545.3230622234
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1038608.5538809395
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1046517.8743290745
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1054312.1868225362
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1037462.7387917108
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1033565.0275466988
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1045829.3944053334
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1015454.5724196853
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,978889.4293610688
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,958716.4153834822
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,967427.1125397659
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1030470.4500035858
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1016866.5875331674
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1032528.2875679127
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1041625.5113829911
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1049571.723298139
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1018823.732524865
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1013987.3477426353
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1008804.8423189374
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1015944.9918773418
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1018017.6541866701
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1011453.7814340929
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1029764.253356083
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1043928.8574669914
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1038285.8552367518
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1037595.3168785969
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1034140.2201637642
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1047383.5548541311
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1024927.4745950191
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1025042.940787796
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1043698.8471808373
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1059475.7591742852
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1076634.8938030319
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1080780.6703392852
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1077325.4715186504
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1082507.4961596767
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1074446.5597226764
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1067767.1326477649
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1087114.4586784102
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1086193.0300258873
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1081931.414438541
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1099666.375762795
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1094599.53384728
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1084350.2160122946
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1085041.143921043
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1101853.854866773
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1116479.8711746882
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1126843.8519097492
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1117631.4158552934
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1123965.0160013025
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1135250.7972399383
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1138936.1570572169
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1140088.1009729686
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1151603.6051205813
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1165423.2056494567
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1174635.4624295966
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1151603.7350406405
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1133984.2642908918
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1115442.6951779597
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1119934.8573459384
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1126268.0028996759
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1108994.5410477181
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1102660.707143705
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1103812.0459303877
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1100932.6165611537
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1097594.0179783022
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1125692.7164819501
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1145039.4533733476
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1151258.0806958065
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1139626.7655332477
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1156210.4486288568
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1174635.726048205
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1168877.800019508
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1206189.3166586594
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1228524.4013476714
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1232688.9059543354
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1220656.674252308
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1216028.1317158313
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1203301.0407782074
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1203301.344098621
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1226441.5223264687
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1250739.13182827
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1254210.0199192478
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1250738.9402473015
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1254904.181034821
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1250970.3028733314
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1249581.6073504374
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1249118.8143320868
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1249581.4500565727
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1264160.1668711216
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1276193.010016144
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1281052.9938386385
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1277581.7462796224
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1258838.1592216396
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1240325.9200382147
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1234540.1520658773
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1235698.0759014038
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1272722.2958108648
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1269251.253130807
